번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,기  대한은박지,사업보고서 (2003.09),대한은박지,2003.12.30,연,00113173,20030709000780
2,유  하이트진로,사업보고서 (2003.09),하이트진로,2003.12.30,정연,00150244,20030709000780
3,코  브이티,사업보고서 (2003.09),브이티,2003.12.29,,00150165,20030709000780
4,코  디지틀조선,사업보고서 (2003.09),디지틀조선,2003.12.29,,00231442,20030709000780
5,코  일지테크,사업보고서 (2003.09),일지테크,2003.12.29,정,00146560,20030709000780
6,코  소프트센,사업보고서 (2003.09),소프트센,2003.12.29,연,00204226,20030709000780
7,기  금강화섬,사업보고서 (2003.09),금강화섬,2003.12.29,,00105509,20030709000780
8,유  이건산업,사업보고서 (2003.09),이건산업,2003.12.29,정연,00145446,20030709000780
9,유  에이프로젠바이오로직스,사업보고서 (2003.09),에이프로젠바이오로직스,2003.12.29,,00101044,20030709000780
10,유  신영와코루,사업보고서 (2003.09),신영와코루,2003.12.29,,00136624,20030709000780
11,유  금비,사업보고서 (2003.09),금비,2003.12.29,,00168401,20030709000780
12,코  아이씨디,사업보고서 (2003.09),아이씨디,2003.12.29,,00298377,20030709000780
13,유  방림,사업보고서 (2003.09),방림,2003.12.29,연,00122348,20030709000780
14,코  이건홀딩스,사업보고서 (2003.09),이건홀딩스,2003.12.29,연,00184889,20030709000780
15,코  인터엠,사업보고서 (2003.09),인터엠,2003.12.29,,00145914,20030709000780
16,코  보성파워텍,사업보고서 (2003.09),보성파워텍,2003.12.29,,00267881,20030709000780
17,유  SUN&L,사업보고서 (2003.09),SUN&L,2003.12.27,,00132211,20030709000780
18,유  성창기업지주,사업보고서 (2003.09),성창기업지주,2003.12.27,정,00133335,20030709000780
19,코  중앙에너비스,사업보고서 (2003.09),중앙에너비스,2003.12.27,정,00149770,20030709000780
20,코  티씨케이,사업보고서 (2003.09),티씨케이,2003.12.26,,00245472,20030709000780
21,유  팜젠사이언스,사업보고서 (2003.09),팜젠사이언스,2003.12.26,,00135050,20030709000780
22,유  사조동아원,사업보고서 (2003.09),사조동아원,2003.12.26,,00137252,20030709000780
23,유  미원상사,사업보고서 (2003.09),미원상사,2003.12.19,정연,00121932,20030709000780
24,기  한국남동발전,[기재정정]사업보고서 (2002.12),한국남동발전,2003.12.16,,00389013,20030709000780
25,유  이화산업,[기재정정]사업보고서 (2003.03),이화산업,2003.12.04,정,00145686,20030709000780
26,기  비씨카드,[기재정정]사업보고서 (2002.12),비씨카드,2003.12.04,,00124656,20030709000780
27,기  미래엔,사업보고서 (2003.08),미래엔,2003.11.29,,00112873,20030709000780
28,기  나리지*온,[기재정정]사업보고서 (2002.12),나리지*온,2003.11.26,,00208693,20030709000780
29,기  나리지*온,[기재정정]사업보고서 (2002.12),나리지*온,2003.11.26,정,00208693,20030709000780
30,기  SK,[기재정정]사업보고서 (2002.12),SK,2003.11.06,연,00144155,20030709000780
31,기  휴스토리,[기재정정]사업보고서 (2002.12),휴스토리,2003.11.03,연,00263140,20030709000780
32,기  한신코퍼레이션,[첨부정정]사업보고서 (2003.06),한신코퍼레이션,2003.10.31,연,00253514,20030709000780
33,코  ES큐브  IR,[기재정정]사업보고서 (2003.06),ES큐브,2003.10.06,정연,00175623,20030709000780
34,기  조인트리,사업보고서 (2003.06),조인트리,2003.10.02,,00386672,20030709000780
35,기  천지산업,[기재정정]사업보고서 (2003.06),천지산업,2003.09.30,연,00151447,20030709000780
36,기  예당컴퍼니,사업보고서 (2003.06),예당컴퍼니,2003.09.29,,00252393,20030709000780
37,기  한신코퍼레이션,사업보고서 (2003.06),한신코퍼레이션,2003.09.29,정연,00253514,20030709000780
38,기  천지산업,[기재정정]사업보고서 (2003.06),천지산업,2003.09.29,정연,00151447,20030709000780
39,기  한마음상호저축은행,사업보고서 (2003.06),한마음상호저축은행,2003.09.29,,00173254,20030709000780
40,기  부산저축은행,사업보고서 (2003.06),부산저축은행,2003.09.29,연,00124054,20030709000780
41,기  제일저축은행,사업보고서 (2003.06),제일저축은행,2003.09.29,연,00174129,20030709000780
42,코  파워로직스,사업보고서 (2003.06),파워로직스,2003.09.29,,00269612,20030709000780
43,기  으뜸상호저축은행,사업보고서 (2003.06),으뜸상호저축은행,2003.09.29,,00148188,20030709000780
44,기  코크렙제2호기업구조조정부동산투자회사,사업보고서 (2003.06),코크렙제2호기업구조조정부동산투자회사,2003.09.29,,00425360,20030709000780
45,기  코크렙제1호기업구조조정부동산투자회사,사업보고서 (2003.06),코크렙제1호기업구조조정부동산투자회사,2003.09.29,,00398534,20030709000780
46,기  천지산업,사업보고서 (2003.06),천지산업,2003.09.29,정연,00151447,20030709000780
47,코  TPC,사업보고서 (2003.06),TPC,2003.09.29,,00108649,20030709000780
48,유  모나용평,사업보고서 (2003.06),모나용평,2003.09.29,,00365989,20030709000780
49,기  남양,[기재정정]사업보고서 (2003.06),남양,2003.09.29,,00107446,20030709000780
50,코  양지사,사업보고서 (2003.06),양지사,2003.09.29,,00139685,20030709000780
51,코  푸드웰,사업보고서 (2003.06),푸드웰,2003.09.29,,00165103,20030709000780
52,기  남양,사업보고서 (2003.06),남양,2003.09.29,정,00107446,20030709000780
53,기  모빌링크텔레콤,사업보고서 (2003.06),모빌링크텔레콤,2003.09.29,,00263991,20030709000780
54,코  마크로젠,사업보고서 (2003.06),마크로젠,2003.09.29,,00261373,20030709000780
55,유  SH에너지화학,사업보고서 (2003.06),SH에너지화학,2003.09.29,연,00136457,20030709000780
56,기  조은저축은행,사업보고서 (2003.06),조은저축은행,2003.09.29,,00136095,20030709000780
57,코  부방,사업보고서 (2003.06),부방,2003.09.29,,00243067,20030709000780
58,유  세원정공,사업보고서 (2003.06),세원정공,2003.09.29,연,00134316,20030709000780
59,유  황금에스티,사업보고서 (2003.06),황금에스티,2003.09.29,,00218575,20030709000780
60,코  대아티아이  IR,사업보고서 (2003.06),대아티아이,2003.09.29,정,00318316,20030709000780
61,유  만호제강,사업보고서 (2003.06),만호제강,2003.09.27,연,00120872,20030709000780
62,코  HRS,사업보고서 (2003.06),HRS,2003.09.27,,00230911,20030709000780
63,유  체시스,사업보고서 (2003.06),체시스,2003.09.27,,00125576,20030709000780
64,기  신원정보기술,사업보고서 (2003.06),신원정보기술,2003.09.27,,00318033,20030709000780
65,기  솔로몬저축은행,사업보고서 (2003.06),솔로몬저축은행,2003.09.27,,00189343,20030709000780
66,기  진흥저축은행,[기재정정]사업보고서 (2003.06),진흥저축은행,2003.09.27,연,00150855,20030709000780
67,기  한국저축은행,사업보고서 (2003.06),한국저축은행,2003.09.27,연,00104704,20030709000780
68,기  진흥저축은행,사업보고서 (2003.06),진흥저축은행,2003.09.26,정연,00150855,20030709000780
69,기  서울상호저축은행,사업보고서 (2003.06),서울상호저축은행,2003.09.26,,00130815,20030709000780
70,코  푸른저축은행,사업보고서 (2003.06),푸른저축은행,2003.09.26,연,00124805,20030709000780
71,기  애큐온저축은행,사업보고서 (2003.06),애큐온저축은행,2003.09.26,,00111014,20030709000780
72,코  ES큐브  IR,사업보고서 (2003.06),ES큐브,2003.09.26,정연,00175623,20030709000780
73,기  교보메리츠퍼스트기업구조조정부동산투자회사,사업보고서 (2003.06),교보메리츠퍼스트기업구조조정부동산투자회사,2003.09.26,,00386876,20030709000780
74,기  인터피온반도체,사업보고서 (2003.06),인터피온반도체,2003.09.26,,00111591,20030709000780
75,기  퓨쳐인포넷,사업보고서 (2003.06),퓨쳐인포넷,2003.09.26,,00225210,20030709000780
76,기  현주컴퓨터,사업보고서 (2003.06),현주컴퓨터,2003.09.26,,00244330,20030709000780
77,기  남한제지,사업보고서 (2003.06),남한제지,2003.09.26,정,00107923,20030709000780
78,유  대한제분,사업보고서 (2003.06),대한제분,2003.09.26,연,00113243,20030709000780
79,유  비비안,사업보고서 (2003.06),비비안,2003.09.26,연,00107677,20030709000780
80,유  신성통상,사업보고서 (2003.06),신성통상,2003.09.26,연,00136341,20030709000780
81,기  두함지개발,사업보고서 (2003.06),두함지개발,2003.09.26,,00131328,20030709000780
82,유  샘표,사업보고서 (2003.06),샘표,2003.09.26,,00130091,20030709000780
83,기  한솔아트원제지,사업보고서 (2003.06),한솔아트원제지,2003.09.25,연,00137702,20030709000780
84,기  한진피앤씨,사업보고서 (2003.06),한진피앤씨,2003.09.23,,00163619,20030709000780
85,코  동성화인텍,사업보고서 (2003.06),동성화인텍,2003.09.22,연,00231105,20030709000780
86,기  지브이테크,사업보고서 (2003.06),지브이테크,2003.09.17,,00264413,20030709000780
