번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
1,넥  크로넥스,사업보고서 (2014.12),크로넥스,2015.12.31,,01034730,20150824000368
2,코  폴라리스세원,사업보고서 (2014.12),폴라리스세원,2015.12.30,정,00617998,20150824000368
3,넥  질경이,사업보고서 (2014.12),질경이,2015.12.30,,01063556,20150824000368
4,기  무송지오씨,사업보고서 (2014.12),무송지오씨,2015.12.30,,00657756,20150824000368
5,코  유비온  IR,사업보고서 (2015.09),유비온,2015.12.29,,00531078,20150824000368
6,코  아시아종묘,사업보고서 (2015.09),아시아종묘,2015.12.29,정연,00867478,20150824000368
7,코  인터엠,사업보고서 (2015.09),인터엠,2015.12.29,연,00145914,20150824000368
8,기  배터리솔루션즈,사업보고서 (2014.12),배터리솔루션즈,2015.12.29,,00929778,20150824000368
9,유  금비,사업보고서 (2015.09),금비,2015.12.29,연,00168401,20150824000368
10,유  방림,사업보고서 (2015.09),방림,2015.12.29,연,00122348,20150824000368
11,코  한스바이오메드,사업보고서 (2015.09),한스바이오메드,2015.12.29,연,00349060,20150824000368
12,코  아이씨디,사업보고서 (2015.09),아이씨디,2015.12.28,,00298377,20150824000368
13,기  인산가,사업보고서 (2014.12),인산가,2015.12.28,,00408336,20150824000368
14,코  농우바이오,사업보고서 (2015.09),농우바이오,2015.12.28,연,00176835,20150824000368
15,기  미래자원엠엘,사업보고서 (2014.12),미래자원엠엘,2015.12.28,,00653112,20150824000368
16,기  아시아퍼시픽14호선박투자회사,사업보고서 (2015.09),아시아퍼시픽14호선박투자회사,2015.12.24,,00533696,20150824000368
17,기  아스팩오일,사업보고서 (2014.12),아스팩오일,2015.12.24,,00318538,20150824000368
18,기  한국비엔씨,사업보고서 (2014.12),한국비엔씨,2015.12.23,,01051339,20150824000368
19,넥  에이원알폼,사업보고서 (2014.12),에이원알폼,2015.12.23,,00614089,20150824000368
20,유  엘앤에프,[기재정정]사업보고서 (2014.12),엘앤에프,2015.12.21,연,00398701,20150824000368
21,유  엘앤에프,[기재정정]사업보고서 (2013.12),엘앤에프,2015.12.21,연,00398701,20150824000368
22,유  엘앤에프,[기재정정]사업보고서 (2012.12),엘앤에프,2015.12.21,연,00398701,20150824000368
23,유  엘앤에프,[기재정정]사업보고서 (2011.12),엘앤에프,2015.12.21,연,00398701,20150824000368
24,기  닉스테크,[기재정정]사업보고서 (2012.12),닉스테크,2015.12.21,,00359030,20150824000368
25,기  닉스테크,[기재정정]사업보고서 (2014.12),닉스테크,2015.12.21,정,00359030,20150824000368
26,기  닉스테크,[기재정정]사업보고서 (2013.12),닉스테크,2015.12.21,,00359030,20150824000368
27,코  에이치엔에스하이텍,사업보고서 (2014.12),에이치엔에스하이텍,2015.12.15,연,00311216,20150824000368
28,코  라온테크,사업보고서 (2014.12),라온테크,2015.12.15,,00911229,20150824000368
29,기  미애부,사업보고서 (2014.12),미애부,2015.12.15,정,00866594,20150824000368
30,코  서울리거,[기재정정]사업보고서 (2012.12),서울리거,2015.12.11,연,00305570,20150824000368
31,코  서울리거,[기재정정]사업보고서 (2011.12),서울리거,2015.12.11,연,00305570,20150824000368
32,기  지성이씨에스,사업보고서 (2014.12),지성이씨에스,2015.12.04,,00890388,20150824000368
33,기  아시아퍼시픽15호선박투자회사,사업보고서 (2015.08),아시아퍼시픽15호선박투자회사,2015.11.30,,00533678,20150824000368
34,코  풍강,사업보고서 (2015.08),풍강,2015.11.27,연,00155373,20150824000368
35,기  자비스,사업보고서 (2014.12),자비스,2015.11.23,,00921475,20150824000368
36,코  인카금융서비스,사업보고서 (2014.12),인카금융서비스,2015.11.19,,01013694,20150824000368
37,기  비앤에스미디어,[기재정정]사업보고서 (2014.12),비앤에스미디어,2015.11.18,,00974459,20150824000368
38,기  비앤에스미디어,[기재정정]사업보고서 (2013.12),비앤에스미디어,2015.11.18,,00974459,20150824000368
39,코  고려신용정보,[기재정정]사업보고서 (2014.12),고려신용정보,2015.11.16,연,00336297,20150824000368
40,기  로케트전기,[기재정정]사업보고서 (2014.12),로케트전기,2015.11.13,연,00120377,20150824000368
41,유  씨아이테크,[기재정정]사업보고서 (2014.12),씨아이테크,2015.11.13,정연,00127158,20150824000368
42,코  대창스틸,[기재정정]사업보고서 (2014.12),대창스틸,2015.11.11,연,00112721,20150824000368
43,유  체시스,[기재정정]사업보고서 (2015.06),체시스,2015.11.11,연,00125576,20150824000368
44,유  체시스,[기재정정]사업보고서 (2015.06),체시스,2015.11.11,정연,00125576,20150824000368
45,넥  파마리서치바이오,사업보고서 (2014.12),파마리서치바이오,2015.11.10,,01066058,20150824000368
46,넥  럭스피아,사업보고서 (2014.12),럭스피아,2015.11.03,,00578325,20150824000368
47,코  젠큐릭스,사업보고서 (2014.12),젠큐릭스,2015.11.02,정,01051472,20150824000368
48,넥  노브메타파마,사업보고서 (2014.12),노브메타파마,2015.11.02,,01065785,20150824000368
49,코  씨엑스아이,사업보고서 (2015.06),씨엑스아이,2015.10.28,연,00800084,20150824000368
50,기  비엘사이언스,사업보고서 (2014.12),비엘사이언스,2015.10.27,,01067242,20150824000368
51,넥  엄지하우스,사업보고서 (2014.12),엄지하우스,2015.10.26,,00607797,20150824000368
52,넥  메디쎄이,사업보고서 (2014.12),메디쎄이,2015.10.23,,01018617,20150824000368
53,코  MIT,[기재정정]사업보고서 (2014.12),MIT,2015.10.16,정연,00215976,20150824000368
54,코  메이슨캐피탈,[첨부정정]사업보고서 (2015.03),메이슨캐피탈,2015.10.07,연,00136101,20150824000368
55,유  유니켐,[기재정정]사업보고서 (2014.06),유니켐,2015.10.01,,00137207,20150824000368
56,기  조은저축은행,사업보고서 (2015.06),조은저축은행,2015.09.30,,00136095,20150824000368
57,기  디비저축은행,사업보고서 (2015.06),디비저축은행,2015.09.30,,00115667,20150824000368
58,유  세원정공,사업보고서 (2015.06),세원정공,2015.09.30,연,00134316,20150824000368
59,넥  대동고려삼,[기재정정]사업보고서 (2015.06),대동고려삼,2015.09.30,,00910202,20150824000368
60,기  코크렙제15호기업구조조정부동산투자회사,사업보고서 (2015.06),코크렙제15호기업구조조정부동산투자회사,2015.09.30,,00788807,20150824000368
61,코  비츠로테크,[기재정정]사업보고서 (2015.06),비츠로테크,2015.09.30,,00103644,20150824000368
62,넥  대동고려삼,사업보고서 (2015.06),대동고려삼,2015.09.30,정,00910202,20150824000368
63,코  비츠로테크,사업보고서 (2015.06),비츠로테크,2015.09.30,정,00103644,20150824000368
64,유  신성통상,사업보고서 (2015.06),신성통상,2015.09.30,연,00136341,20150824000368
65,유  유니켐,사업보고서 (2015.06),유니켐,2015.09.30,,00137207,20150824000368
66,기  아시아퍼시픽12호선박투자회사,사업보고서 (2015.06),아시아퍼시픽12호선박투자회사,2015.09.30,,00533836,20150824000368
67,기  아시아퍼시픽11호선박투자회사,사업보고서 (2015.06),아시아퍼시픽11호선박투자회사,2015.09.30,,00533793,20150824000368
68,유  만호제강,사업보고서 (2015.06),만호제강,2015.09.30,연,00120872,20150824000368
69,코  효성오앤비,[기재정정]사업보고서 (2015.06),효성오앤비,2015.09.30,연,00367385,20150824000368
70,코  양지사,사업보고서 (2015.06),양지사,2015.09.30,,00139685,20150824000368
71,코  효성오앤비,사업보고서 (2015.06),효성오앤비,2015.09.30,정연,00367385,20150824000368
